level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,intervention_control,extracted_portion,lname,Author_pmid
92,90,88,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,3.0,1.0,10.0,36.2,75.0,intervention,LRYGB,Herrera,Herrera_20587720
93,91,89,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,12.0,9.0,41.0,26.8,77.0,intervention,RYGBplusMT,Schiavon,Schiavon_29133606
94,92,90,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,36.0,22.0,42.0,30.1143,74.56,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
95,93,91,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,24.0,22.0,42.0,31.5977,74.91,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
96,94,92,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,1.0,1.0,10.0,40.0,76.7,intervention,LRYGB,Herrera,Herrera_20587720
97,95,93,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,3.0,6.0,13.0,32.1,82.60000000000001,intervention,RYGB,Halperin,Halperin_24899464
98,96,94,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,36.0,9.0,41.0,26.8,77.4,intervention,RYGBplusMT,Schiavon,Schiavon_32805133
99,97,95,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,6.0,0.0,50.0,33.09,77.1,intervention,RYGB,Robson,Robson_34554379
100,98,96,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,12.0,22.0,42.0,36.1178,78.09,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
101,99,97,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,12.0,22.0,38.0,25.8,68.0,intervention,RYGBplusLMM,Ikramuddin,Ikramuddin_23736733
102,100,98,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,24.0,11.0,61.0,31.0,86.0,intervention,LBP-GB,Abel,Abel_30471927
103,101,99,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,3.0,9.0,10.0,34.0,72.3,control,WhyWAIT,Halperin,Halperin_24899464
