level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
52,50,49,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,24.0,9.0,9.0,32.4,77.19999999999999,25.42,39.28,63.61199999999999,90.788,6.932653061224492,3.5357142857142856,intervention,LAGB,Simonson,Simonson_31931977
53,51,50,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,7.0,13.0,33.74,87.15,24.569999999999997,35.25,77.938,96.36200000000001,4.7,2.7244897959183683,control,HDER,Ospanov,Ospanov_33963974_a
54,52,50,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,7.0,13.0,33.74,87.15,24.569999999999997,35.25,77.938,96.36200000000001,4.7,2.7244897959183683,control,HDER,Ospanov,Ospanov_33963974_b
55,53,51,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,36.0,9.0,9.0,32.5,75.3,25.32,39.68,61.61199999999999,88.988,6.9836734693877585,3.6632653061224487,intervention,LAGB,Simonson,Simonson_31931977
56,54,52,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,12.0,13.0,9.0,34.0,78.80000000000001,24.968000000000004,43.032000000000004,60.124,97.376,9.503061224489796,4.608163265306122,control,DWM,Simonson,Simonson_31931977
57,55,53,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,12.0,3.0,8.0,30.3,71.7,25.4,35.2,63.664,79.736,4.1,2.5,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
58,56,54,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,48.0,11.0,61.0,33.0,90.0,21.240000000000002,44.76,68.44,111.56,11.0,6.0,intervention,LBP-GB,Abel,Abel_30471927
59,57,55,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,12.0,26.0,34.0,31.6,74.0,24.348000000000003,38.852000000000004,56.36,91.64,9.0,3.7,control,LMM,Ikramuddin,Ikramuddin_23736733
60,58,56,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,6.0,0.0,11.0,47.1,86.22,37.064800000000005,57.1352,78.5564,93.8836,3.91,5.12,control,CG,Robson,Robson_34554379
61,59,57,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,12.0,13.0,12.0,28.7,76.55,15.175999999999995,42.224000000000004,36.566,116.53399999999999,20.4,6.900000000000002,intervention,RYGB,Wallenius,Wallenius_32540150
